1,50,98,1
2,13,28,1
3,16,35,1
4,20,45,1
5,24,77,-1
6,4,4,-1
7,7,14,1
8,12,35,-1
9,9,22,1
10,46,98,1
11,23,58,-1
12,3,4,-1
13,10,28,1
14,13,47,-1
15,6,15,1
16,5,11,1
17,14,48,1
18,15,49,1
19,11,28,-1
20,6,16,1
21,9,16,-1
22,14,40,-1
23,6,14,-1
24,12,34,1
25,8,21,-1
26,14,58,-1
27,9,26,1
28,16,64,-1
29,8,28,1
30,12,47,1
31,14,57,1
32,7,22,1
33,13,53,1
34,5,16,-1
35,20,69,1
36,9,28,1
37,9,36,-1
38,2,2,-1
39,11,46,-1
40,6,22,-1
41,12,52,-1
42,5,14,1
43,19,69,1
44,8,26,1
45,7,28,1
46,16,81,-1
47,6,21,-1
48,7,29,-1
49,8,35,1
50,10,49,-1
51,3,9,1
52,16,74,-1
53,4,14,1
54,2,4,-1
55,7,25,-1
56,9,51,-1
57,4,16,-1
58,17,71,1
59,6,23,1
60,6,28,1
61,7,35,1
62,11,23,-1
63,17,86,-1
64,9,38,1
65,7,26,1
66,8,34,1
67,13,76,1
68,9,40,-1
69,5,26,-1
70,17,70,-1
71,8,59,-1
72,3,14,-1
73,10,64,-1
74,5,23,1
75,9,46,-1
76,8,40,1
77,12,82,-1
78,24,64,-1
79,7,46,1
80,11,61,-1
81,7,57,-1
82,11,79,1
83,3,16,1
84,6,41,1
85,5,33,1
86,4,26,-1
87,5,34,-1
88,8,46,1
89,8,48,1
90,2,10,1
91,5,28,-1
92,12,95,-1
93,6,35,-1
94,11,88,-1
95,3,19,-1
96,5,37,-1
97,12,98,-1
98,5,19,-1
99,2,11,-1
100,9,74,-1
101,14,86,-1
102,2,9,1
103,7,58,1
104,6,39,-1
105,11,78,-1
106,1,2,1
107,10,35,-1
108,3,22,-1
109,4,35,-1
110,12,88,-1
111,9,33,-1
112,15,77,-1
113,5,35,1
114,7,52,-1
115,11,42,-1
116,2,14,-1
117,5,47,1
118,8,38,1
119,6,47,-1
120,9,45,-1
121,6,52,-1
122,6,26,-1
123,2,16,-1
124,7,76,-1
125,6,27,-1
126,1,4,-1
127,3,24,-1
128,8,39,-1
129,10,63,-1
130,3,15,-1
131,4,43,-1
132,9,58,-1
133,8,52,1
134,22,98,-1
135,3,25,1
136,17,79,1
137,5,46,-1
138,12,58,-1
139,12,86,-1
140,6,75,-1
141,8,41,1
142,13,59,-1
143,3,35,-1
144,7,37,-1
145,3,28,-1
146,4,41,-1
147,14,73,1
